postcode,population,mean_age,perc_foreigners,salary
651,411,50,0.06,25511.0
652,299,47,0.06,26281.0
653,396,48,0.08,24932.0
654,355,47,0.06,26281.0
655,1064,40,0.07,23426.0
656,1422,41,0.05,25880.0
657,1346,40,0.07,23426.0
658,855,41,0.03,24960.0
659,182,41,0.03,24960.0
660,459,41,0.03,24960.0
661,1580,41,0.09,27231.0
662,627,39,0.1,29640.0
663,1186,41,0.08,29429.0
664,916,41,0.07,29128.0
665,728,42,0.07,31987.0
666,1704,46,0.43,21342.0
667,337,37,0.33,21770.0
668,2371,37,0.23,21412.0
669,6871,39,0.08,22484.0
670,615,44,0.02,15175.0
671,393,47,0.01,23735.0
672,18113,36,0.09,27789.0
673,8913,37,0.09,25963.0
674,16042,36,0.1,25360.0
675,29170,38,0.22,27134.0
676,24496,34,0.15,29929.0
677,3470,31,0.15,31922.0
678,347,42,0.04,30230.0
679,5730,40,0.14,27665.0
680,8407,38,0.08,26781.0
681,5990,40,0.17,31197.0
682,3121,42,0.1,29991.0
683,14352,35,0.07,28260.0
684,6404,37,0.05,28173.0
685,14456,36,0.05,29805.0
686,6921,39,0.07,30263.0
687,2396,36,0.09,22355.0
688,661,39,0.09,28078.0
689,73979,36,0.1,27198.0
690,16968,35,0.07,32429.0
691,2677,36,0.1,29082.0
692,2083,38,0.08,27608.0
693,12442,35,0.11,30271.0
694,1215,37,0.16,29987.0
695,7841,37,0.16,31751.0
696,4694,38,0.17,29297.0
697,225,33,0.09,23505.0
698,1687,45,0.06,20756.0
699,3330,39,0.12,27550.0
700,1713,41,0.26,25761.0
701,257,41,0.26,25761.0
702,1012,41,0.34,24499.0
703,9651,37,0.12,26218.0
704,4028,39,0.11,26033.0
705,11531,41,0.18,23718.0
706,345,42,0.04,18562.0
707,5984,39,0.04,18738.0
708,602,46,0.32,26299.0
709,447,47,0.02,14076.0
710,284,46,0.01,15425.0
711,410,53,0.02,13086.0
712,974,48,0.02,16949.0
713,507,45,0.04,17836.0
714,62,55,0.0,12233.0
715,445,48,0.0,16343.0
716,1590,41,0.01,17971.0
717,551,45,0.04,17731.0
718,154,48,0.04,23068.0
719,770,47,0.03,23367.0
720,836,44,0.1,21616.0
721,567,43,0.04,24728.0
722,986,43,0.04,24724.0
723,11700,43,0.09,23603.0
724,3716,45,0.04,21888.0
725,1502,50,0.02,21813.0
726,1224,48,0.05,33525.0
727,764,48,0.01,21659.0
728,1771,48,0.04,24762.0
729,2113,49,0.01,20844.0
